,symbol,strategy,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit
10,AAPL,st_aeoas,t=9&h=15,0.157738940769298,0.13850980174327235,325776.69882612873,0.5050541543099779,54.0,93.0,2015-01-02  sell -14603.12  109.88,915847.46
69,NTES,st_aeoas,t=6&h=15,0.3428554013748993,0.0647856510073036,130011.6474472082,0.7765040962963291,34.0,58.0,2015-01-08  buy  0  103.41,325516.13
80,VIPS,st_aeoas,t=7&h=15,1.021189740141747,0.04215543371969068,124220.11255506473,0.4082182247700715,9.0,4.0,2015-01-07  buy  0  22.28,494651.16
17,AMZN,st_aeoas,t=8&h=9,0.22781909915264772,0.09214698882067329,84046.61653554409,0.8638199503080586,67.0,92.0,2015-01-06  sell -4647.11  298.23,1834367.09
30,BIIB,st_aeoas,t=8&h=9,0.1736418160006339,0.07711497063581352,80669.71808808936,0.7794099264164858,82.0,147.0,2015-01-08  buy  0  352.85,1104871.79
5,NFLX,st_aeoas,t=8&h=14,0.2870136249028442,0.05391560127685522,79054.00863706239,0.7539595210807375,29.0,46.0,2015-01-06  sell -3258.71  327.51,366422.67
48,BBRY,st_aeoas,t=4&h=6,0.2596530955970447,0.06809194983477326,75631.26822711623,0.8309784683904508,63.0,120.0,2015-01-07  sell -1329.93  10.65,46853.93
19,INTC,st_aeoas,t=8&h=14,0.07572474515600357,0.20303751242911974,70469.80110584364,0.7558843047895629,57.0,97.0,2015-01-06  sell  5101.19  35.71,453291.14
72,NOC,st_aeoas,t=7&h=8,0.05779141209544114,0.09389357378877008,55267.93700160075,0.5608135487651069,96.0,159.0,2015-01-09  buy  0  152.66,376692.11
55,QCOM,st_aeoas,t=6&h=12,0.15281000703385317,0.09067025008194449,46466.34941388112,0.8417830405255106,63.0,125.0,2014-12-19  buy  0  73.41,1589347.83
75,GOOGL,st_aeoas,t=4&h=8,0.18614684565630676,0.14007772886298384,43126.99413962545,0.4428095582695322,39.0,58.0,2015-01-06  sell -2794.56  513.48,81691.57
25,IBM,st_aeoas,t=9&h=13,0.059365234815174445,0.3230506575697063,38431.24068101041,0.3495881780741875,60.0,98.0,2015-01-07  sell -2273.12  155.87,88204.65
2,A,st_aeoas,t=9&h=15,0.15828725028167964,0.13513854930982905,37529.557219600756,0.7150824471719576,35.0,45.0,2015-01-06  sell -2414.08  39.51,5326.71
39,LMT,st_aeoas,t=8&h=15,0.05766415590618644,0.1375710231147674,32023.71309953845,0.3718838399440957,55.0,104.0,2014-12-22  buy  0  195.05,299173.29
67,NOK,st_aeoas,t=9&h=15,0.11128504310769038,0.15884277903152244,25798.251493550655,0.8769799941795564,37.0,73.0,2015-01-02  sell -508.19  7.98,44492.75
81,BIDU,st_aeoas,t=7&h=14,0.2609418297784818,0.14285977994530535,24771.27044657376,0.666409024514602,24.0,33.0,2015-01-02  sell -1064.78  226.12,181246.75
14,YY,st_aeoas,t=7&h=15,0.6379604963027563,0.019678884422873216,23424.069265516027,0.33004399866826906,8.0,5.0,2015-01-07  buy  0  67.93,49372.79
52,TSLA,st_aeoas,t=7&h=15,0.43920215973788035,0.005207214200990126,21508.644565573606,0.5468088458273194,11.0,17.0,2015-01-06  sell -2605.19  209.94,74855.22
