symbol,rank,name,sector,industry,pid,exg
^GSPC,1,S&P 500,,,7,N
SPP,0,Sanchez Production Partners LLC,Energy,Oil & Gas Production,0,A
SPR,1,Spirit Aerosystems Holdings Inc.,Capital Goods,Military/Government/Technical,0,N
SPU,0,SkyPeople Fruit Juice Inc.,Consumer Non-Durables,Packaged Foods,0,O
PHMD,3,PhotoMedex Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0,O
SPH,3,Suburban Propane Partners L.P.,Consumer Services,Other Specialty Stores,0,N
SPN,5,Superior Energy Services Inc.,Energy,Oilfield Services/Equipment,0,N
BSDM,0,BSD Medical Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0,O
SPA,3,Sparton Corporation,Technology,Electrical Products,0,N
SPB,3,Spectrum Brands Holdings Inc.,Miscellaneous,Industrial Machinery/Components,0,N
SPE,0,Special Opportunities Fund Inc.,n/a,n/a,0,N
SPF,3,Standard Pacific Corp,Capital Goods,Homebuilding,0,N
SPG,3,Simon Property Group Inc.,Consumer Services,Real Estate Investment Trusts,0,N
XPO,2,XPO Logistics Inc.,Consumer Services,Transportation Services,0,N
XPL,3,Solitario Exploration & Royalty Corp,Basic Industries,Precious Metals,0,A
JNS,2,Janus Capital Group Inc,Finance,Investment Managers,4,N
REMY,3,Remy International Inc.,Capital Goods,Auto Parts:O.E.M.,0,O
MBSD,0,FlexShares Disciplined Duration MBS Index Fund,n/a,n/a,0,O
JNJ,3,Johnson & Johnson,Health Care,Major Pharmaceuticals,3,N
MBFIP,-1,MB Financial Inc.,Finance,Major Banks,0,O
BEN,4,Franklin Resources Inc.,Finance,Investment Managers,0,N
BEL,3,Belmond Ltd.,Consumer Services,Hotels/Resorts,0,N
BEE,3,Strategic Hotels & Resorts Inc,Consumer Services,Real Estate Investment Trusts,0,N
BEP,2,Brookfield Renewable Powerr Fund,Public Utilities,Electric Utilities: Central,0,N
GHDX,3,Genomic Health Inc.,Health Care,Medical Specialities,0,O
RFT,-1,RAIT Financial Trust,Consumer Services,Real Estate Investment Trusts,0,N
BIRT,3,Actuate Corporation,Technology,Computer Software: Prepackaged Software,0,O
GRT,0,Glimcher Realty Trust,Consumer Services,Real Estate Investment Trusts,0,N
TPRE,4,Third Point Reinsurance Ltd.,Finance,Property-Casualty Insurers,0,N
GRR,0,Asia Tigers Fund Inc. (The),n/a,n/a,0,N
GRX,-1,The Gabelli Healthcare & Wellness Trust,n/a,n/a,0,N
GRF,0,Eagle Capital Growth Fund Inc.,n/a,n/a,0,A
GRC,3,Gorman-Rupp Company (The),Capital Goods,Fluid Controls,0,A
GRA,4,W.R. Grace & Co.,Basic Industries,Major Chemicals,0,N
GRO,0,Agria Corporation,Consumer Non-Durables,Farming/Seeds/Milling,0,N
GRH,2,GreenHunter Resources Inc.,Basic Industries,Major Chemicals,0,A
NSLP,4,New Source Energy Partners L.P.,Energy,Oil & Gas Production,0,N
DYAX,2,Dyax Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,0,O
LPSN,2,LivePerson Inc.,Technology,Computer Software: Prepackaged Software,0,O
AVHI,3,A V Homes Inc.,Capital Goods,Homebuilding,0,O
NOG,4,Northern Oil and Gas Inc.,Energy,Oil & Gas Production,0,A
HLS,1,HealthSouth Corporation,Health Care,Hospital/Nursing Management,0,N
NOA,2,North American Energy Partners Inc.,Energy,Oilfield Services/Equipment,0,N
NOC,2,Northrop Grumman Corporation,Capital Goods,Industrial Machinery/Components,6,N
HLF,4,Herbalife LTD.,Health Care,Other Pharmaceuticals,0,N
NOV,5,National Oilwell Varco Inc.,Energy,Metal Fabrications,4,N
HVT/A,-1,Haverty Furniture Companies Inc.,Consumer Services,Other Specialty Stores,0,N
NOR,1,Noranda Aluminum Holding Corporation,Basic Industries,Aluminum,0,N
SYPR,0,Sypris Solutions Inc.,Capital Goods,Industrial Machinery/Components,0,O
IFAS,0,iShares FTSE EPRA/NAREIT Asia Index Fund,n/a,n/a,0,O
SPW,4,SPX Corporation,Technology,Industrial Machinery/Components,4,N
RFI,0,Cohen & Steers Total Return Realty Fund Inc.,n/a,n/a,0,N
VRTX,3,Vertex Pharmaceuticals Incorporated,Health Care,Major Pharmaceuticals,0,O
ARTW,0,Art&#39;s-Way Manufacturing Co. Inc.,Capital Goods,Industrial Machinery/Components,0,O
KTOS,3,Kratos Defense & Security Solutions Inc.,Capital Goods,Military/Government/Technical,0,O
ARTX,3,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,0,O
WSH,3,Willis Group Holdings Limited,Finance,Specialty Insurers,0,N
EVBS,3,Eastern Virginia Bankshares Inc.,Finance,Major Banks,0,O
BFAM,2,Bright Horizons Family Solutions Inc.,Miscellaneous,Other Consumer Services,0,N
RLI,3,RLI Corp.,Finance,Property-Casualty Insurers,0,N
NTAP,3,NetApp Inc.,Technology,Electronic Components,4,O
EDD,0,Morgan Stanley Emerging Markets Domestic Debt Fund Inc.,n/a,n/a,0,N
ZBRA,2,Zebra Technologies Corporation,Technology,Industrial Machinery/Components,0,O
RLD,2,RealD Inc,Technology,Radio And Television Broadcasting And Communications Equipment,0,N
EDI,0,Stone Harbor Emerging Markets Total Income Fund,n/a,n/a,0,N
EDN,0,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),Public Utilities,Electric Utilities: Central,0,N
EDR,4,Education Realty Trust Inc.,Consumer Services,Real Estate Investment Trusts,0,N
EDS,0,Exceed Company Ltd.,Consumer Non-Durables,Shoe Manufacturing,0,O
PDII,3,PDI Inc.,Miscellaneous,Business Services,0,O
EDU,3,New Oriental Education & Technology Group Inc.,Consumer Services,Other Consumer Services,0,N
DPW,0,Digital Power Corporation,Capital Goods,Industrial Machinery/Components,0,A
ABAC,0,Aoxin Tianli Group Inc.,Consumer Non-Durables,Farming/Seeds/Milling,0,O
HDRAW,-1,Hydra Industries Acquisition Corp.,n/a,n/a,0,O
DPS,3,Dr Pepper Snapple Group Inc,Consumer Non-Durables,Beverages (Production/Distribution),0,N
VXUS,3,Vanguard Total International Stock ETF,n/a,n/a,0,O
DUKH,-1,Duke Energy Corporation,Public Utilities,Power Generation,0,N
DPZ,3,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors,0,N
DPG,-1,Duff & Phelps Global Utility Income Fund Inc.,n/a,n/a,0,N
DPD,-1,Dow 30 Premium,n/a,n/a,0,N
FCBC,2,First Community Bancshares Inc.,Finance,Major Banks,0,O
DCUB,-1,Dominion Resources Inc.,Public Utilities,Electric Utilities: Central,0,N
COHR,3,Coherent Inc.,Capital Goods,Biotechnology: Laboratory Analytical Instruments,0,O
ABAX,3,ABAXIS Inc.,Capital Goods,Industrial Machinery/Components,0,O
COHU,2,Cohu Inc.,Capital Goods,Electrical Products,0,O
LF,4,Leapfrog Enterprises Inc,Consumer Non-Durables,Recreational Products/Toys,0,N
LG,3,Laclede Group Inc.,Public Utilities,Oil/Gas Transmission,0,N
LE,1,Lands&#39; End Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,0,O
LB,2,L Brands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,4,N
LC,3,LendingClub Corporation,n/a,n/a,0,N
LO,4,Lorillard Inc,Consumer Non-Durables,Farming/Seeds/Milling,0,N
LL,4,Lumber Liquidators Holdings Inc,Consumer Services,RETAIL: Building Materials,0,N
LM,3,Legg Mason Inc.,Finance,Investment Managers,0,N
LH,3,Laboratory Corporation of America Holdings,Health Care,Medical Specialities,0,N
LQ,2,La Quinta Holdings Inc.,Consumer Services,Hotels/Resorts,0,N
A,5,Agilent Technologies Inc.,Capital Goods,Electrical Products,2,N
CNTF,0,China TechFaith Wireless Communication Technology Limited,Miscellaneous,Business Services,0,O
HEAR,3,Turtle Beach Corporation,Consumer Durables,Telecommunications Equipment,0,O
NBHC,2,National Bank Holdings Corporation,Finance,Major Banks,0,N
FRGI,2,Fiesta Restaurant Group Inc.,Consumer Services,Restaurants,0,O
CNTY,3,Century Casinos Inc.,Consumer Services,Hotels/Resorts,0,O
CFN,4,CareFusion Corporation,Health Care,Medical/Dental Instruments,4,N
CFO,0,Compass EMP US 500 Enhanced Volatility Weighted Index ETF,n/a,n/a,0,O
CFI,3,Culp Inc.,Basic Industries,Textiles,0,N
CFG,3,Citizens Financial Group Inc.,Finance,Major Banks,0,N
CFD,-1,Nuveen Diversified Commodity Fund,n/a,n/a,0,A
PNR,3,Pentair plc.,Technology,Industrial Machinery/Components,4,N
PNW,3,Pinnacle West Capital Corporation,Public Utilities,Electric Utilities: Central,0,N
CFA,0,Compass EMP US 500 Volatility Weighted Index ETF,n/a,n/a,0,O
PNI,-1,Pimco New York Municipal Income Fund II,n/a,n/a,0,N
PNK,4,Pinnacle Entertainment Inc.,Consumer Services,Hotels/Resorts,0,N
MRLN,3,Marlin Business Services Corp.,Finance,Major Banks,0,O
PNM,2,PNM Resources Inc. (Holding Co.),Public Utilities,Electric Utilities: Central,0,N
CFX,4,Colfax Corporation,Capital Goods,Fluid Controls,4,N
PNC,3,PNC Financial Services Group Inc. (The),Finance,Major Banks,0,N
CFR,3,Cullen/Frost Bankers Inc.,Finance,Major Banks,4,N
CFP,-1,Cornerstone Progressive Return Fund,n/a,n/a,0,A
PNF,-1,PIMCO New York Municipal Income Fund,n/a,n/a,0,N
TRUP,3,Trupanion Inc.,Health Care,Medical Specialities,0,N
CBOE,2,CBOE Holdings Inc.,Finance,Investment Bankers/Brokers/Service,0,O
TRUE,3,TrueCar Inc.,Technology,Computer Software: Programming Data Processing,0,O
ELOS,4,Syneron Medical Ltd.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0,O
PRQR,3,ProQR Therapeutics N.V.,Health Care,Major Pharmaceuticals,0,O
CRD/A,-1,Crawford & Company,Finance,Specialty Insurers,0,N
CRD/B,-1,Crawford & Company,Finance,Specialty Insurers,0,N
HYLS,0,First Trust High Yield Long/Short ETF,n/a,n/a,0,O
JMLP,-1,Nuveen All Cap Energy MLP Opportunities Fund,n/a,n/a,0,N
CHFN,0,Charter Financial Corp.,Finance,Savings Institutions,0,O
CHFC,3,Chemical Financial Corporation,Finance,Major Banks,0,O
JAXB,0,Jacksonville Bancorp Inc.,Finance,Major Banks,0,O
MRO,4,Marathon Oil Corporation,Energy,Oil & Gas Production,0,N
MRH,3,Montpelier Re Holdings Ltd.,Finance,Property-Casualty Insurers,0,N
MRK,3,Merck & Company Inc.,Health Care,Major Pharmaceuticals,3,N
