symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,3,93,265,,1.93,2.07,2.07,2.07,2.14,15,1.42,1.43,1.43,1.44,1.44
NOC,N,3,29,265,,2.15,2.15,2.15,2.42,2.42,13,1.98,1.98,2.04,2.46,2.46
A,N,3,174,265,,2.09,2.09,2.09,2.09,2.09,11,0.43,0.43,0.47,0.47,0.47
MRO,N,2,102,265,,1.87,1.87,1.87,1.81,1.81,15,-0.40,-0.40,-0.40,-0.44,-0.38
MRK,N,3,93,265,,1.86,2.00,2.00,2.00,2.00,14,0.90,0.90,0.90,0.91,0.91
BIIB,O,2,82,265,,1.80,1.80,1.80,1.85,1.86,22,4.09,4.09,4.08,4.02,4.04
VNTV,N,1,55,265,,1.93,1.93,1.93,1.84,1.80,22,0.60,0.60,0.60,0.58,0.58
SWKS,O,3,102,265,,1.19,1.19,1.19,1.19,1.29,16,1.49,1.49,1.44,1.46,1.46
CTXS,O,1,75,265,,2.11,2.11,2.06,2.10,2.10,21,1.00,1.00,0.99,0.97,0.97
GPRO,O,5,193,265,,2.13,2.13,2.13,1.71,1.77,15,0.30,0.30,0.30,0.72,0.74
JAZZ,O,3,37,265,,1.33,1.33,1.18,1.20,1.18,12,1.67,1.67,1.81,1.81,1.81
LMT,N,3,29,265,,2.50,2.33,2.38,2.23,2.23,12,2.90,2.91,2.93,2.96,2.96
LITB,N,3,75,265,,3.00,3.00,3.00,3.00,3.00,1,0.13,0.13,0.13,0.13,-0.08
MA,N,3,55,265,,1.56,1.56,1.56,1.56,1.73,24,0.71,0.71,0.71,0.76,0.76
COST,O,3,155,265,,1.79,1.79,1.83,1.79,1.79,21,1.16,1.16,1.16,1.15,1.14
CIEN,N,3,102,265,,1.71,1.71,1.71,1.59,1.50,17,0.35,0.35,0.35,0.35,0.35
BAC,N,3,102,265,,1.72,1.72,1.72,1.72,1.68,18,0.35,0.35,0.35,0.37,0.37
RHT,N,3,75,265,,1.44,1.44,1.44,1.47,1.56,18,0.31,0.31,0.31,0.31,0.31
BMRN,O,3,82,265,,1.64,1.64,1.54,1.57,1.53,14,0.88,0.88,0.89,-0.76,-0.73
DIS,N,3,170,265,,2.00,2.00,1.96,1.96,1.96,23,1.42,1.42,1.38,1.37,1.37
UTX,N,3,164,265,,1.91,1.91,1.91,1.79,1.72,16,1.49,1.49,1.49,1.53,1.51
AZN,N,1,93,265,,2.60,2.60,2.33,2.33,2.33,5,0.34,0.24,0.43,0.43,0.43
BMY,N,3,93,265,,1.81,1.81,1.81,1.75,1.75,13,0.27,0.26,0.26,0.22,0.22
MGM,N,3,91,265,,1.23,1.23,1.23,1.25,1.23,13,0.07,0.07,0.07,0.06,0.05
