symbol,rank,sector,industry
SPP,0,Sanchez Production Partners LLC,Energy,Oil & Gas Production
SPR,1,Spirit Aerosystems Holdings Inc.,Capital Goods,Military/Government/Technical
SPU,0,SkyPeople Fruit Juice Inc.,Consumer Non-Durables,Packaged Foods
PHMD,3,PhotoMedex Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SPH,3,Suburban Propane Partners L.P.,Consumer Services,Other Specialty Stores
SPN,5,Superior Energy Services Inc.,Energy,Oilfield Services/Equipment
BSDM,0,BSD Medical Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SPA,3,Sparton Corporation,Technology,Electrical Products
SPB,3,Spectrum Brands Holdings Inc.,Miscellaneous,Industrial Machinery/Components
RIOM,3,Rio Alto Mining Limited,Basic Industries,Precious Metals
SPE,0,Special Opportunities Fund Inc.,n/a,n/a
SPF,3,Standard Pacific Corp,Capital Goods,Homebuilding
SPG,3,Simon Property Group Inc.,Consumer Services,Real Estate Investment Trusts
XPO,2,XPO Logistics Inc.,Consumer Services,Transportation Services
TISA,3,Top Image Systems Ltd.,Technology,Computer peripheral equipment
JNS,2,Janus Capital Group Inc,Finance,Investment Managers
REMY,3,Remy International Inc.,Capital Goods,Auto Parts:O.E.M.
MBSD,0,FlexShares Disciplined Duration MBS Index Fund,n/a,n/a
TISI,3,Team Inc.,Consumer Services,Other Consumer Services
JNJ,3,Johnson & Johnson,Health Care,Major Pharmaceuticals
MBFIP,-1,MB Financial Inc.,Finance,Major Banks
BEN,4,Franklin Resources Inc.,Finance,Investment Managers
BEL,3,Belmond Ltd.,Consumer Services,Hotels/Resorts
BEE,3,Strategic Hotels & Resorts Inc,Consumer Services,Real Estate Investment Trusts
BEP,2,Brookfield Renewable Powerr Fund,Public Utilities,Electric Utilities: Central
GHDX,3,Genomic Health Inc.,Health Care,Medical Specialities
RFT,-1,RAIT Financial Trust,Consumer Services,Real Estate Investment Trusts
BIRT,3,Actuate Corporation,Technology,Computer Software: Prepackaged Software
