symbol,total trade,win trade,win rate%,gain,return%,maxgain%,maxloss%
JNJ,1,1,100.0,169.8074585094164,1.7,1.7,0.0
NOC,0,0,0.0,0.0,0.0,0.0,0.0
A,1,0,0.0,-82.06485771012558,-0.82,0.0,0.82
MRO,0,0,0.0,0.0,0.0,0.0,0.0
MRK,0,0,0.0,0.0,0.0,0.0,0.0
BIIB,1,0,0.0,-133.54569958343382,-1.34,0.0,1.34
VNTV,1,1,100.0,525.7058575642641,5.26,5.26,0.0
SWKS,1,0,0.0,-213.13666053049565,-2.13,0.0,2.13
CTXS,1,0,0.0,-51.84740490094373,-0.52,0.0,0.52
GPRO,1,1,100.0,276.2430939226524,2.76,2.76,0.0
JAZZ,0,0,0.0,0.0,0.0,0.0,0.0
LMT,0,0,0.0,0.0,0.0,0.0,0.0
LITB,1,0,0.0,-339.912280701752,-3.4,0.0,3.4
MA,2,1,50.0,-61.0845345235648,-0.61,0.12,0.73
COST,1,0,0.0,-5.891859134064362,-0.06,0.0,0.06
CIEN,0,0,0.0,0.0,0.0,0.0,0.0
BAC,0,0,0.0,0.0,0.0,0.0,0.0
STI,0,0,0.0,0.0,0.0,0.0,0.0
RHT,0,0,0.0,0.0,0.0,0.0,0.0
BMRN,1,1,100.0,929.5684146646199,9.3,9.3,0.0
DIS,2,0,0.0,-137.3017873051449,-1.37,0.0,1.25
UTX,0,0,0.0,0.0,0.0,0.0,0.0
AZN,0,0,0.0,0.0,0.0,0.0,0.0
BMY,0,0,0.0,0.0,0.0,0.0,0.0
MGM,1,0,0.0,-182.71119842829285,-1.83,0.0,1.83
KEY,1,0,0.0,-133.11460572463147,-1.33,0.0,1.33
AXP,0,0,0.0,0.0,0.0,0.0,0.0
MSFT,0,0,0.0,0.0,0.0,0.0,0.0
ACN,1,0,0.0,-49.70491638249041,-0.5,0.0,0.5
GILD,0,0,0.0,0.0,0.0,0.0,0.0
VOYA,1,0,0.0,-146.80778422669937,-1.47,0.0,1.47
XOM,0,0,0.0,0.0,0.0,0.0,0.0
UNH,0,0,0.0,0.0,0.0,0.0,0.0
AAL,0,0,0.0,0.0,0.0,0.0,0.0
AAP,1,0,0.0,-86.56887384384208,-0.87,0.0,0.87
BID,1,1,100.0,176.18115443627357,1.76,1.76,0.0
MCD,0,0,0.0,0.0,0.0,0.0,0.0
C,0,0,0.0,0.0,0.0,0.0,0.0
CRM,0,0,0.0,0.0,0.0,0.0,0.0
PG,0,0,0.0,0.0,0.0,0.0,0.0
SBUX,1,0,0.0,-30.77727431160565,-0.31,0.0,0.31
PSX,2,0,0.0,-174.1544576673441,-1.74,0.0,1.12
CSCO,1,1,100.0,746.7631766744817,7.47,7.47,0.0
APEI,1,0,0.0,-47.294253909014515,-0.47,0.0,0.47
FB,1,0,0.0,-111.70794314778868,-1.12,0.0,1.12
AGN,1,1,100.0,78.19625631969393,0.78,0.78,0.0
ERIC,1,1,100.0,184.1340163367022,1.84,1.84,0.0
BWP,1,0,0.0,-427.0696452036809,-4.27,0.0,4.27
MAR,0,0,0.0,0.0,0.0,0.0,0.0
MAN,0,0,0.0,0.0,0.0,0.0,0.0
AMZN,0,0,0.0,0.0,0.0,0.0,0.0
VMW,0,0,0.0,0.0,0.0,0.0,0.0
MOS,0,0,0.0,0.0,0.0,0.0,0.0
MON,1,0,0.0,-81.57829018563098,-0.82,0.0,0.82
CVX,1,0,0.0,-220.36418015482195,-2.2,0.0,2.2
CVS,2,1,50.0,80.44300081544134,0.8,1.11,0.3
CMG,1,1,100.0,49.899261950246,0.5,0.5,0.0
PCL,0,0,0.0,0.0,0.0,0.0,0.0
BSX,2,1,50.0,-0.007078775286572636,-0.0,0.16,0.16
CAR,0,0,0.0,0.0,0.0,0.0,0.0
F,0,0,0.0,0.0,0.0,0.0,0.0
MMM,0,0,0.0,0.0,0.0,0.0,0.0
CELG,0,0,0.0,0.0,0.0,0.0,0.0
WFC,1,1,100.0,45.977311593540435,0.46,0.46,0.0
EMC,2,1,50.0,8.027988330537482,0.08,0.34,0.26
COP,0,0,0.0,0.0,0.0,0.0,0.0
PEP,0,0,0.0,0.0,0.0,0.0,0.0
COH,1,0,0.0,-71.03064066852312,-0.71,0.0,0.71
AIG,1,0,0.0,-165.15976331360798,-1.65,0.0,1.65
MNST,0,0,0.0,0.0,0.0,0.0,0.0
YUM,0,0,0.0,0.0,0.0,0.0,0.0
TSN,0,0,0.0,0.0,0.0,0.0,0.0
HUM,1,0,0.0,-19.701723343196136,-0.2,0.0,0.2
IBM,0,0,0.0,0.0,0.0,0.0,0.0
IBB,0,0,0.0,0.0,0.0,0.0,0.0
CAT,0,0,0.0,0.0,0.0,0.0,0.0
SINA,1,0,0.0,-57.258530942741345,-0.57,0.0,0.57
NFLX,0,0,0.0,0.0,0.0,0.0,0.0
FITB,1,0,0.0,-139.52750911685507,-1.4,0.0,1.4
ESRX,0,0,0.0,0.0,0.0,0.0,0.0
KLAC,0,0,0.0,0.0,0.0,0.0,0.0
N,0,0,0.0,0.0,0.0,0.0,0.0
MS,0,0,0.0,0.0,0.0,0.0,0.0
DOW,0,0,0.0,0.0,0.0,0.0,0.0
AA,0,0,0.0,0.0,0.0,0.0,0.0
ARLP,0,0,0.0,0.0,0.0,0.0,0.0
SBAC,1,0,0.0,-186.6448846232397,-1.87,0.0,1.87
QCOM,1,1,100.0,1048.2197925427517,10.48,10.48,0.0
BA,0,0,0.0,0.0,0.0,0.0,0.0
GSK,0,0,0.0,0.0,0.0,0.0,0.0
NTES,1,1,100.0,46.858855477548786,0.47,0.47,0.0
LLY,0,0,0.0,0.0,0.0,0.0,0.0
ORCL,0,0,0.0,0.0,0.0,0.0,0.0
ABBV,0,0,0.0,0.0,0.0,0.0,0.0
LNKD,1,1,100.0,168.09500892010692,1.68,1.68,0.0
V,1,0,0.0,-54.20995934252824,-0.54,0.0,0.54
PRU,1,0,0.0,-104.07664850647961,-1.04,0.0,1.04
AVGO,0,0,0.0,0.0,0.0,0.0,0.0
LPLA,0,0,0.0,0.0,0.0,0.0,0.0
SNY,0,0,0.0,0.0,0.0,0.0,0.0
BBL,0,0,0.0,0.0,0.0,0.0,0.0
DD,1,1,100.0,857.3402417962006,8.57,8.57,0.0
CL,0,0,0.0,0.0,0.0,0.0,0.0
TWTR,1,1,100.0,548.7186911828594,5.49,5.49,0.0
VZ,0,0,0.0,0.0,0.0,0.0,0.0
WMT,0,0,0.0,0.0,0.0,0.0,0.0
ALLY,0,0,0.0,0.0,0.0,0.0,0.0
INTC,1,0,0.0,-135.26079972947628,-1.35,0.0,1.35
ALSN,0,0,0.0,0.0,0.0,0.0,0.0
KITE,1,0,0.0,-96.33075750407261,-0.96,0.0,0.96
FSLR,0,0,0.0,0.0,0.0,0.0,0.0
RTN,0,0,0.0,0.0,0.0,0.0,0.0
DB,0,0,0.0,0.0,0.0,0.0,0.0
WB,1,1,100.0,60.031153193200225,0.6,0.6,0.0
TRMB,0,0,0.0,0.0,0.0,0.0,0.0
FEYE,2,0,0.0,-966.6263063611477,-9.67,0.0,6.78
BIDU,1,1,100.0,247.9809976247052,2.48,2.48,0.0
USB,0,0,0.0,0.0,0.0,0.0,0.0
PXD,0,0,0.0,0.0,0.0,0.0,0.0
HCA,1,0,0.0,-157.4687270051527,-1.57,0.0,1.57
BLK,1,1,100.0,389.1599939257867,3.89,3.89,0.0
FOXA,2,0,0.0,-376.4193024502056,-3.76,0.0,1.92
