symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
JNJ,N,3,80,265,,2.07,2.07,2.07,2.00,2.07,15,1.43,1.43,1.43,1.44,1.44
NOC,N,3,46,265,,2.15,2.15,2.15,2.42,2.42,13,2.03,2.03,2.44,2.46,2.46
A,N,3,212,265,,2.09,2.09,2.09,2.09,2.09,11,0.43,0.43,0.47,0.47,0.47
MRO,N,2,104,265,,1.87,1.87,1.87,1.81,1.69,15,-0.40,-0.41,-0.42,-0.41,-0.33
MRK,N,3,80,265,,2.00,2.00,2.00,2.00,2.00,14,0.90,0.90,0.90,0.91,0.91
BIIB,O,2,88,265,,1.80,1.80,1.80,1.85,1.90,22,4.09,4.09,4.07,4.04,4.01
VNTV,N,1,58,265,,1.93,1.93,1.93,1.80,1.80,22,0.60,0.60,0.58,0.58,0.58
SWKS,O,3,104,265,,1.19,1.19,1.19,1.29,1.29,16,1.49,1.49,1.46,1.46,1.45
CTXS,O,1,88,265,,2.15,2.15,2.06,2.10,2.10,22,1.00,1.00,0.99,0.97,0.97
GPRO,O,5,163,265,,2.13,2.13,2.13,1.71,1.71,15,0.30,0.30,0.67,0.72,0.80
JAZZ,O,3,37,265,,1.33,1.33,1.18,1.18,1.18,12,1.67,1.67,1.81,1.81,1.81
LMT,N,3,46,265,,2.33,2.38,2.38,2.23,2.23,12,2.91,2.91,2.93,2.96,2.96
LITB,N,2,46,265,,3.00,3.00,3.00,3.00,3.00,1,0.13,0.13,0.13,0.13,-0.08
MA,N,3,58,265,,1.56,1.56,1.56,1.73,1.73,24,0.71,0.71,0.76,0.76,0.76
COST,O,3,104,265,,1.79,1.79,1.69,1.79,1.79,21,1.16,1.16,1.16,1.14,1.14
CIEN,N,3,40,265,,1.71,1.71,1.59,1.50,1.56,17,0.35,0.35,0.35,0.35,0.33
BAC,N,3,163,265,,1.72,1.72,1.72,1.72,1.79,18,0.35,0.35,0.35,0.37,0.37
RHT,N,3,88,265,,1.44,1.44,1.56,1.47,1.53,18,0.31,0.31,0.31,0.31,0.31
BMRN,O,3,88,265,,1.64,1.64,1.54,1.57,1.53,14,0.88,0.88,-0.77,-0.73,-0.73
DIS,N,3,167,265,,2.00,2.00,1.96,1.96,1.96,23,1.42,1.42,1.39,1.37,1.37
UTX,N,3,178,265,,1.91,1.91,1.91,1.72,1.72,16,1.49,1.49,1.49,1.53,1.52
AZN,N,3,80,265,,2.60,2.60,2.33,2.33,2.33,5,0.34,0.34,0.43,0.43,0.43
BMY,N,3,80,265,,1.81,1.81,1.81,1.75,1.75,13,0.26,0.26,0.23,0.22,0.22
MGM,N,3,66,265,,1.23,1.23,1.25,1.25,1.23,13,0.07,0.07,0.05,0.06,0.05
AXP,N,3,102,265,,2.63,2.63,2.63,2.50,2.63,20,1.13,1.13,1.17,1.26,1.26
MSFT,O,3,88,265,,1.86,1.86,1.86,2.00,2.04,21,0.69,0.69,0.68,0.72,0.71
ACN,N,3,152,265,,1.87,1.87,1.87,1.93,2.00,15,1.31,1.31,1.31,1.31,1.31
GILD,O,2,88,265,,1.73,1.73,1.73,1.59,1.47,15,2.88,2.88,2.98,2.98,2.98
VOYA,N,3,160,265,,2.23,2.23,2.29,2.23,2.23,15,0.79,0.79,0.81,0.84,0.85
XOM,N,3,104,265,,2.62,2.62,2.59,2.74,2.74,15,0.76,0.77,0.73,0.80,0.94
UNH,N,3,75,265,,1.19,1.19,1.29,1.29,1.29,18,1.35,1.56,1.57,1.60,1.60
AAL,O,3,48,265,,1.83,1.83,1.83,1.91,1.83,12,1.88,1.88,1.85,1.77,1.83
AAP,N,4,8,265,,1.79,1.79,1.79,1.79,1.72,17,1.23,1.23,1.53,1.53,1.53
MCD,N,2,98,265,,2.18,2.18,2.18,2.33,2.33,22,1.22,1.22,1.22,1.15,1.15
C,N,3,163,265,,1.50,1.50,1.50,1.38,1.50,16,1.17,1.17,1.20,1.20,1.20
CRM,N,2,88,265,,1.37,1.37,1.38,1.38,1.38,31,0.04,0.04,0.04,0.04,0.04
PG,N,3,48,265,,2.40,2.40,2.43,2.40,2.50,20,0.98,0.98,0.99,1.02,1.06
SBUX,O,3,98,265,,1.40,1.40,1.40,1.40,1.38,24,0.45,0.45,0.47,0.47,0.47
PSX,N,3,12,265,,1.64,1.64,1.75,1.69,1.54,11,1.60,1.58,1.19,1.30,1.32
CSCO,O,3,3,265,,1.85,1.85,1.85,1.92,1.92,26,0.50,0.50,0.50,0.50,0.50
APEI,O,3,31,265,,3.00,3.00,3.00,3.00,3.00,3,0.54,0.54,0.53,0.55,0.55
FB,O,2,33,265,,1.19,1.19,1.20,1.27,1.28,31,0.50,0.50,0.46,0.46,0.46
AGN,N,4,82,265,,1.36,1.36,1.37,1.34,1.34,14,3.24,3.24,3.31,4.59,4.64
ERIC,O,3,208,265,,2.38,2.38,2.38,2.57,2.57,8,0.24,0.24,0.25,0.24,0.24
BWP,N,1,88,265,,2.00,2.00,2.25,2.25,2.25,8,0.22,0.21,0.18,0.18,0.19
MAR,O,3,48,265,,2.21,2.21,2.27,2.27,2.44,14,0.77,0.77,0.80,0.80,0.80
MAN,N,3,17,265,,1.50,1.50,1.50,1.46,1.46,12,1.51,1.51,1.51,1.54,1.54
AMZN,O,2,151,265,,1.43,1.43,1.41,1.48,1.48,28,1.63,1.62,1.55,1.55,1.48
VMW,N,3,88,265,,2.43,2.43,2.43,1.84,1.84,28,0.99,0.99,0.99,0.96,0.96
MOS,N,4,248,265,,2.21,2.21,2.21,2.21,2.08,14,0.58,0.60,0.77,0.84,0.94
MON,N,5,251,265,,2.21,2.21,2.21,2.25,2.00,14,-0.08,0.01,0.01,0.60,0.64
CVX,N,3,104,265,,2.07,2.07,2.14,2.20,2.33,15,0.65,0.67,0.53,0.65,0.87
CVS,N,3,104,265,,1.28,1.28,1.25,1.36,1.36,16,1.52,1.52,1.51,1.51,1.51
CMG,N,3,98,265,,2.10,1.98,1.90,1.94,1.85,26,4.19,4.35,4.36,4.39,4.39
PCL,N,3,104,265,,2.50,2.50,2.57,2.50,2.78,6,0.16,0.16,0.23,0.23,0.24
CAR,O,4,184,265,,2.43,2.43,2.14,2.14,2.14,7,0.21,0.21,0.33,0.33,0.33
F,N,3,71,265,,2.21,2.21,2.21,2.46,2.50,14,0.47,0.47,0.48,0.49,0.49
MMM,N,3,178,265,,2.44,2.44,2.44,2.44,2.44,12,1.71,1.71,1.75,1.86,1.88
CELG,O,3,88,265,,1.33,1.33,1.36,1.31,1.44,15,1.10,1.10,1.17,1.16,1.16
WFC,N,3,163,265,,1.95,1.89,1.85,2.00,2.10,20,1.03,1.03,1.03,1.05,1.05
EMC,N,4,104,265,,2.20,2.20,2.12,1.72,1.73,25,0.55,0.55,0.55,0.60,0.60
COP,N,3,104,265,,2.33,2.33,2.33,2.29,2.29,12,-0.20,-0.19,-0.16,-0.11,0.15
PEP,N,3,99,265,,1.44,1.44,1.44,1.47,1.47,17,1.07,1.07,1.07,1.12,1.13
COH,N,3,158,265,,2.26,2.26,2.26,2.47,2.47,23,0.67,0.67,0.68,0.68,0.69
AIG,N,5,173,265,,2.18,2.18,2.25,2.21,2.13,11,1.17,1.17,1.25,1.24,1.24
MNST,O,3,99,265,,1.81,1.81,1.88,1.88,1.79,13,0.82,0.82,0.84,0.87,0.87
YUM,N,4,98,265,,2.25,2.25,2.25,2.06,2.12,16,0.66,0.66,0.66,0.95,0.95
TSN,N,3,242,265,,1.75,1.67,1.60,1.20,1.20,4,0.85,0.89,0.85,0.64,0.64
HUM,N,4,75,265,,2.18,2.18,2.29,2.29,2.38,17,1.45,1.45,1.48,1.47,1.49
IBM,N,3,242,265,,2.50,2.50,2.60,2.50,2.54,16,4.77,4.77,4.77,5.73,5.74
CAT,N,3,241,265,,2.88,2.88,2.88,2.88,2.73,16,0.72,0.72,0.71,0.77,0.96
SINA,O,3,75,265,,1.86,1.86,1.86,2.14,2.00,7,0.25,0.25,0.25,0.31,0.22
NFLX,O,3,45,265,,2.07,2.07,2.07,2.07,2.00,28,0.02,0.02,0.02,0.02,0.02
FITB,O,3,163,265,,2.22,2.19,2.19,2.16,2.16,25,0.40,0.40,0.40,0.42,0.42
ESRX,O,2,10,265,,1.97,1.97,1.93,1.93,1.93,19,1.55,1.55,1.53,1.53,1.53
KLAC,O,3,237,265,,2.36,2.36,2.36,2.29,2.43,11,0.86,0.86,0.85,0.82,0.82
N,N,2,88,265,,2.40,2.40,2.40,2.31,2.31,15,-0.36,-0.36,-0.36,-0.33,-0.33
MS,N,5,235,265,,2.00,2.00,2.15,2.17,2.23,13,0.54,0.54,0.54,0.63,0.64
DOW,N,2,191,265,,2.33,2.33,2.33,2.33,2.47,15,0.69,0.69,0.71,0.72,0.78
AA,N,3,104,265,,2.27,2.27,2.27,2.20,2.32,11,0.07,0.08,0.08,0.15,0.13
ARLP,O,3,167,265,,1.57,1.57,1.57,1.57,1.67,7,0.78,0.78,0.86,0.86,0.93
SBAC,O,3,178,265,,1.62,1.62,1.33,1.33,1.33,13,0.08,0.08,0.10,0.13,0.13
QCOM,O,4,208,265,,2.13,2.13,2.09,2.09,2.00,23,0.75,0.75,0.97,1.05,1.05
BA,N,2,46,265,,1.80,1.80,1.75,1.75,1.75,15,2.12,2.12,2.13,2.33,2.33
GSK,N,3,80,265,,2.56,2.56,2.56,2.56,2.67,9,0.61,0.61,0.79,0.70,0.70
NTES,O,3,85,265,,1.50,1.40,1.40,1.40,1.40,4,1.81,1.81,1.85,1.85,1.83
LLY,N,2,80,265,,1.83,1.83,1.83,1.83,1.83,12,0.77,0.77,0.76,0.76,0.76
ORCL,N,4,88,265,,2.10,2.10,2.02,1.93,2.06,25,0.57,0.57,0.58,0.59,0.62
ABBV,N,3,80,265,,1.21,1.21,1.33,1.40,1.33,12,1.14,1.14,1.18,1.19,1.19
LNKD,N,2,33,265,,1.46,1.46,1.46,1.63,1.65,28,0.00,0.00,-0.12,-0.13,-0.13
V,N,4,58,265,,1.45,1.45,1.41,1.50,1.50,21,0.68,0.68,0.74,0.73,0.73
PRU,N,3,173,265,,1.54,1.54,1.63,1.59,1.72,14,2.32,2.32,2.35,2.41,2.41
AVGO,O,4,82,265,,1.42,1.42,1.42,1.42,1.47,20,2.19,2.19,2.19,2.19,2.07
LPLA,O,4,235,265,,3.00,3.00,3.00,3.00,2.67,6,0.51,0.51,0.55,0.59,0.59
SNY,N,4,80,265,,2.00,2.00,2.20,2.20,2.20,4,0.68,0.68,0.77,0.77,0.77
BBL,N,5,184,265,,2.60,2.60,2.20,2.20,3.00,5,NA,NA,NA,NA,NA
DD,N,4,191,265,,2.38,2.38,2.29,2.29,2.15,13,0.25,0.25,0.30,0.54,0.54
CL,N,3,48,265,,2.82,2.82,2.82,2.82,2.82,17,0.73,0.73,0.75,0.76,0.76
TWTR,N,3,48,265,,2.08,2.08,2.08,2.08,2.00,24,-0.14,-0.14,-0.17,-0.17,-0.17
VZ,N,3,68,265,,1.91,1.91,1.91,1.96,1.92,23,0.88,0.88,0.88,0.88,0.88
WMT,N,3,178,265,,2.68,2.68,3.00,2.91,2.82,19,1.46,1.44,1.42,1.43,1.43
ALLY,N,2,104,265,,1.15,1.15,1.15,1.15,1.15,10,0.54,0.54,0.52,0.53,0.53
INTC,O,2,24,265,,1.91,1.91,1.98,1.95,2.08,31,0.63,0.63,0.63,0.60,0.60
ALSN,N,3,156,265,,1.88,1.88,1.88,1.71,1.59,12,0.58,0.58,0.61,0.61,0.61
KITE,O,4,88,265,,1.33,1.33,1.33,1.33,1.33,6,-0.84,-0.84,-0.62,-0.60,-0.64
FSLR,O,2,33,265,,1.88,1.88,1.94,1.94,2.00,17,0.94,0.94,1.58,1.57,1.51
RTN,N,3,210,265,,1.13,1.13,1.27,1.40,1.62,15,1.74,1.74,1.76,1.81,1.81
DB,N,4,103,265,,2.50,2.50,2.50,2.00,2.00,4,NA,NA,NA,NA,NA
TRMB,O,3,210,265,,2.00,2.00,2.18,2.30,2.30,11,0.21,0.21,0.22,0.22,0.23
FEYE,O,2,48,265,,2.22,2.22,2.00,1.91,1.96,23,-0.76,-0.76,-0.85,-0.87,-0.87
BIDU,O,2,33,265,,1.50,1.50,1.44,1.22,1.67,8,0.78,0.78,1.07,0.97,1.02
PXD,N,3,80,265,,1.64,1.64,1.70,1.70,1.70,25,-0.06,-0.06,0.00,0.01,0.11
HCA,N,3,18,265,,1.40,1.40,1.40,1.40,1.30,20,1.36,1.36,1.36,1.36,1.36
BLK,N,3,229,265,,1.77,1.77,1.77,1.77,1.96,15,4.81,4.80,4.79,5.03,5.31
FOXA,O,3,174,265,,1.90,1.90,1.90,1.95,1.95,20,0.44,0.44,0.45,0.45,0.45
VIPS,N,4,46,265,,1.67,1.67,1.22,1.22,1.20,9,0.16,0.16,0.16,0.16,0.16
BRCM,O,3,19,265,,2.62,2.62,2.63,2.57,2.57,25,0.71,0.71,0.71,0.71,0.71
SCTY,O,4,33,265,,1.46,1.46,1.46,1.29,1.39,12,-2.63,-2.63,-2.34,-2.34,-2.18
